"id","year","month","day","quality_grade","species_guess","scientific_name","common_name","STATEFP","COUNTYFP","COUNTYNS","AFFGEOID","GEOID","NAME","NAMELSAD","STUSPS","STATE_NAME","LSAD","ALAND","AWATER"
5882,"2010","03","06","research","American Bullfrog","Lithobates catesbeianus","American Bullfrog","06","013","01675903","0500000US06013","06013","Contra Costa","Contra Costa County","CA","California","06",1856752855,225364427
17106,"2011","05","13","research","American Bullfrog","Lithobates catesbeianus","American Bullfrog","06","097","01657246","0500000US06097","06097","Sonoma","Sonoma County","CA","California","06",4080091725,497303747
19958,"2011","05","30","research","Bullfrog","Lithobates catesbeianus","American Bullfrog","06","019","00277274","0500000US06019","06019","Fresno","Fresno County","CA","California","06",15432139293,136609893
22634,"2011","06","20","research","American Bullfrog","Lithobates catesbeianus","American Bullfrog","06","079","00277304","0500000US06079","06079","San Luis Obispo","San Luis Obispo County","CA","California","06",8549160509,815630594
23197,"2011","06","25","research","American Bullfrog","Lithobates catesbeianus","American Bullfrog","06","091","00277310","0500000US06091","06091","Sierra","Sierra County","CA","California","06",2468694582,23299110
27321,"2011","08","09","research","American Bullfrog","Lithobates catesbeianus","American Bullfrog","06","037","00277283","0500000US06037","06037","Los Angeles","Los Angeles County","CA","California","06",10515988166,1785003207
31030,"2011","08","29","research","American Bullfrog","Lithobates catesbeianus","American Bullfrog","06","087","00277308","0500000US06087","06087","Santa Cruz","Santa Cruz County","CA","California","06",1152818088,419720203
32248,"2011","06","23","research","American Bullfrog","Lithobates catesbeianus","American Bullfrog","06","109","00277319","0500000US06109","06109","Tuolumne","Tuolumne County","CA","California","06",5752133238,138668837
32249,"2011","06","11","research","Rana catesbeiana","Lithobates catesbeianus","American Bullfrog","06","095","00277312","0500000US06095","06095","Solano","Solano County","CA","California","06",2128287124,218615209
33783,"2011","10","03","research","American Bullfrog","Lithobates catesbeianus","American Bullfrog","06","111","00277320","0500000US06111","06111","Ventura","Ventura County","CA","California","06",4767585001,947376202
38818,"2011","09","16","research","American Bullfrog","Lithobates catesbeianus","American Bullfrog","06","041","00277285","0500000US06041","06041","Marin","Marin County","CA","California","06",1347890152,797077336
59415,"2012","03","21","research","American Bullfrog","Lithobates catesbeianus","American Bullfrog","06","085","00277307","0500000US06085","06085","Santa Clara","Santa Clara County","CA","California","06",3343892723,33595850
60744,"2011","04","04","research","American Bullfrog","Lithobates catesbeianus","American Bullfrog","06","089","01682610","0500000US06089","06089","Shasta","Shasta County","CA","California","06",9778892920,185816636
62958,"2012","04","05","research","Bullfrog","Lithobates catesbeianus","American Bullfrog","06","081","00277305","0500000US06081","06081","San Mateo","San Mateo County","CA","California","06",1161882953,757162988
64276,"2012","04","09","research","Bullfrog","Lithobates catesbeianus","American Bullfrog","06","081","00277305","0500000US06081","06081","San Mateo","San Mateo County","CA","California","06",1161882953,757162988
64279,"2012","04","07","research","American Bullfrog","Lithobates catesbeianus","American Bullfrog","06","097","01657246","0500000US06097","06097","Sonoma","Sonoma County","CA","California","06",4080091725,497303747
71721,"2012","04","28","research","American Bullfrog (Lithobates catesbeianus)","Lithobates catesbeianus","American Bullfrog","06","097","01657246","0500000US06097","06097","Sonoma","Sonoma County","CA","California","06",4080091725,497303747
71804,"2012","04","27","research","Frogs and Toads","Lithobates catesbeianus","American Bullfrog","06","097","01657246","0500000US06097","06097","Sonoma","Sonoma County","CA","California","06",4080091725,497303747
80158,"2012","05","12","research","American Bullfrog","Lithobates catesbeianus","American Bullfrog","06","097","01657246","0500000US06097","06097","Sonoma","Sonoma County","CA","California","06",4080091725,497303747
80159,"2012","05","12","research","American Bullfrog","Lithobates catesbeianus","American Bullfrog","06","097","01657246","0500000US06097","06097","Sonoma","Sonoma County","CA","California","06",4080091725,497303747
98449,"2012","06","22","research","American Bullfrog","Lithobates catesbeianus","American Bullfrog","06","097","01657246","0500000US06097","06097","Sonoma","Sonoma County","CA","California","06",4080091725,497303747
100116,"2012","07","08","research","American Bullfrog","Lithobates catesbeianus","American Bullfrog","06","087","00277308","0500000US06087","06087","Santa Cruz","Santa Cruz County","CA","California","06",1152818088,419720203
101929,"2012","07","15","research","American Bullfrog","Lithobates catesbeianus","American Bullfrog","06","097","01657246","0500000US06097","06097","Sonoma","Sonoma County","CA","California","06",4080091725,497303747
112187,"2012","08","12","research","American Bullfrog","Lithobates catesbeianus","American Bullfrog","06","097","01657246","0500000US06097","06097","Sonoma","Sonoma County","CA","California","06",4080091725,497303747
122103,"2012","09","12","research","American Bullfrog","Lithobates catesbeianus","American Bullfrog","06","085","00277307","0500000US06085","06085","Santa Clara","Santa Clara County","CA","California","06",3343892723,33595850
133933,"2012","10","10","research","American Bullfrog","Lithobates catesbeianus","American Bullfrog","06","085","00277307","0500000US06085","06085","Santa Clara","Santa Clara County","CA","California","06",3343892723,33595850
136398,"2012","10","04","research","American Bullfrog","Lithobates catesbeianus","American Bullfrog","06","087","00277308","0500000US06087","06087","Santa Cruz","Santa Cruz County","CA","California","06",1152818088,419720203
140432,"2012","04","19","research","American Bullfrog (Lithobates catesbeianus)","Lithobates catesbeianus","American Bullfrog","06","107","00277318","0500000US06107","06107","Tulare","Tulare County","CA","California","06",12493840855,37260863
180787,"2010","08","09","research","American Bullfrog","Lithobates catesbeianus","American Bullfrog","06","001","01675839","0500000US06001","06001","Alameda","Alameda County","CA","California","06",1910010507,216909647
184443,"2012","07","15","research","Rana catesbeiana","Lithobates catesbeianus","American Bullfrog","06","013","01675903","0500000US06013","06013","Contra Costa","Contra Costa County","CA","California","06",1856752855,225364427
