"NAME","year","n"
"Alameda","2017",10
"Alameda","2021",5
"Alameda","2022",7
"Alameda","2023",14
"Alameda","2024",22
"Alameda","2025",24
"Contra Costa","2014",5
"Contra Costa","2016",9
"Contra Costa","2017",11
"Contra Costa","2018",17
"Contra Costa","2019",40
"Contra Costa","2020",33
"Contra Costa","2021",6
"Contra Costa","2022",21
"Contra Costa","2023",46
"Contra Costa","2024",45
"Contra Costa","2025",65
"Marin","2014",7
"Marin","2016",7
"Marin","2017",9
"Marin","2018",17
"Marin","2019",32
"Marin","2020",16
"Marin","2021",27
"Marin","2022",42
"Marin","2023",45
"Marin","2024",96
"Marin","2025",101
"Monterey","2016",17
"Monterey","2017",16
"Monterey","2018",14
"Monterey","2019",8
"Monterey","2021",23
"Monterey","2022",15
"Monterey","2023",22
"Monterey","2024",43
"Monterey","2025",22
"San Benito","2015",8
"San Benito","2016",28
"San Benito","2017",22
"San Benito","2018",11
"San Benito","2019",27
"San Benito","2020",14
"San Benito","2021",13
"San Benito","2022",9
"San Benito","2023",34
"San Benito","2024",25
"San Benito","2025",30
"San Francisco","2018",13
"San Francisco","2021",5
"San Francisco","2022",16
"San Francisco","2023",15
"San Francisco","2024",9
"San Francisco","2025",14
"San Luis Obispo","2010",7
"San Luis Obispo","2014",11
"San Luis Obispo","2015",5
"San Luis Obispo","2018",6
"San Luis Obispo","2019",9
"San Luis Obispo","2020",6
"San Luis Obispo","2021",10
"San Luis Obispo","2022",11
"San Luis Obispo","2023",15
"San Luis Obispo","2024",26
"San Luis Obispo","2025",17
"San Mateo","2011",5
"San Mateo","2013",11
"San Mateo","2014",9
"San Mateo","2016",6
"San Mateo","2017",9
"San Mateo","2018",15
"San Mateo","2019",18
"San Mateo","2020",45
"San Mateo","2021",43
"San Mateo","2022",32
"San Mateo","2023",32
"San Mateo","2024",77
"San Mateo","2025",49
"Santa Barbara","2005",6
"Santa Barbara","2010",13
"Santa Barbara","2012",11
"Santa Barbara","2016",6
"Santa Barbara","2017",15
"Santa Barbara","2018",21
"Santa Barbara","2019",8
"Santa Barbara","2020",14
"Santa Barbara","2021",10
"Santa Barbara","2022",15
"Santa Barbara","2023",17
"Santa Barbara","2024",25
"Santa Barbara","2025",60
"Santa Clara","2018",12
"Santa Clara","2019",9
"Santa Clara","2020",9
"Santa Clara","2021",11
"Santa Clara","2022",13
"Santa Clara","2023",16
"Santa Clara","2024",28
"Santa Clara","2025",62
"Santa Cruz","2014",5
"Santa Cruz","2017",6
"Santa Cruz","2019",7
"Santa Cruz","2020",11
"Santa Cruz","2021",17
"Santa Cruz","2022",16
"Santa Cruz","2023",31
"Santa Cruz","2024",52
"Santa Cruz","2025",23
"Sonoma","2016",5
"Sonoma","2018",6
"Sonoma","2019",13
"Sonoma","2020",15
"Sonoma","2021",20
"Sonoma","2022",72
"Sonoma","2023",291
"Sonoma","2024",907
"Sonoma","2025",600
