"id","year","month","day","quality_grade","place_guess","species_guess","scientific_name","common_name","STATEFP","COUNTYFP","COUNTYNS","AFFGEOID","GEOID","NAME","NAMELSAD","STUSPS","STATE_NAME","LSAD","ALAND","AWATER"
1732,"2009","02","21","research","California, US","California Red-legged Frog","Rana draytonii","California Red-legged Frog","06","013","01675903","0500000US06013","06013","Contra Costa","Contra Costa County","CA","California","06",1856752855,225364427
7525,"2010","06","04","research","California, US","California Red-legged Frog","Rana draytonii","California Red-legged Frog","06","001","01675839","0500000US06001","06001","Alameda","Alameda County","CA","California","06",1910010507,216909647
12729,"2010","06","05","research","California, US","California Red-legged Frog","Rana draytonii","California Red-legged Frog","06","075","00277302","0500000US06075","06075","San Francisco","San Francisco County","CA","California","06",121045788,479608103
22338,"2011","06","20","research","California, US","California Red-legged Frog","Rana draytonii","California Red-legged Frog","06","081","00277305","0500000US06081","06081","San Mateo","San Mateo County","CA","California","06",1161882953,757162988
24640,"2011","07","10","research","California, US","California Red-legged Frog","Rana draytonii","California Red-legged Frog","06","081","00277305","0500000US06081","06081","San Mateo","San Mateo County","CA","California","06",1161882953,757162988
29108,"2011","07","10","research","California, US","California Red-legged Frog","Rana draytonii","California Red-legged Frog","06","081","00277305","0500000US06081","06081","San Mateo","San Mateo County","CA","California","06",1161882953,757162988
29522,"2011","08","28","research","California, US","California Red-legged Frog","Rana draytonii","California Red-legged Frog","06","075","00277302","0500000US06075","06075","San Francisco","San Francisco County","CA","California","06",121045788,479608103
29523,"2011","08","28","research","California, US","California Red-legged Frog","Rana draytonii","California Red-legged Frog","06","075","00277302","0500000US06075","06075","San Francisco","San Francisco County","CA","California","06",121045788,479608103
30888,"2011","06","09","research","San Benito County, US-CA, US","Rana draytonii","Rana draytonii","California Red-legged Frog","06","069","00277299","0500000US06069","06069","San Benito","San Benito County","CA","California","06",3596591085,4719300
31340,"2010","08","01","research","California, US","California Red-legged Frog","Rana draytonii","California Red-legged Frog","06","085","00277307","0500000US06085","06085","Santa Clara","Santa Clara County","CA","California","06",3343892723,33595850
33513,"2011","10","01","research","California, US","California Red-legged Frog (Rana draytonii)","Rana draytonii","California Red-legged Frog","06","013","01675903","0500000US06013","06013","Contra Costa","Contra Costa County","CA","California","06",1856752855,225364427
37505,"2011","10","28","research","San Benito County, US-CA, US","California Red-legged Frog","Rana draytonii","California Red-legged Frog","06","069","00277299","0500000US06069","06069","San Benito","San Benito County","CA","California","06",3596591085,4719300
81571,"2012","05","19","research","California, US","California Red-legged Frog","Rana draytonii","California Red-legged Frog","06","013","01675903","0500000US06013","06013","Contra Costa","Contra Costa County","CA","California","06",1856752855,225364427
83939,"2012","05","27","research","California, US","California Red-legged Frog","Rana draytonii","California Red-legged Frog","06","085","00277307","0500000US06085","06085","Santa Clara","Santa Clara County","CA","California","06",3343892723,33595850
